country,year,age,rate
Albania,1999,15-24 years,6.4
Albania,1999,25-34 years,4.7
Albania,1999,55-74 years,3.18
Albania,1999,35-54 years,1.34
Albania,1999,5-14 years,0.27
Albania,2000,75+ years,5.29
Albania,2000,15-24 years,2.27
Albania,2000,35-54 years,1.51
Albania,2000,25-34 years,1.22
Albania,2000,5-14 years,0.0
Albania,2000,55-74 years,0.0
Albania,2001,75+ years,4.23
Albania,2001,15-24 years,3.32
Albania,2001,35-54 years,3.24
Albania,2001,55-74 years,3.16
Albania,2001,25-34 years,1.8
Albania,2001,5-14 years,0.65
Albania,2002,15-24 years,5.07
Albania,2002,35-54 years,4.0
Albania,2002,25-34 years,3.13
Albania,2002,75+ years,2.11
Albania,2002,55-74 years,2.09
Albania,2002,5-14 years,0.33
Albania,2003,75+ years,12.22
Albania,2003,15-24 years,4.93
Albania,2003,55-74 years,4.6
Albania,2003,25-34 years,4.04
Albania,2003,35-54 years,3.41
Albania,2003,5-14 years,0.0
Albania,2004,15-24 years,6.84
Albania,2004,75+ years,5.89
Albania,2004,25-34 years,4.95
Albania,2004,35-54 years,4.34
Albania,2004,55-74 years,1.47
Albania,2004,5-14 years,1.05
Albania,2005,15-24 years,0.0
Albania,2005,25-34 years,0.0
Albania,2005,35-54 years,0.0
Albania,2005,5-14 years,0.0
Albania,2005,55-74 years,0.0
Albania,2005,75+ years,0.0
Albania,2006,15-24 years,0.0
Albania,2006,25-34 years,0.0
Albania,2006,35-54 years,0.0
Albania,2006,5-14 years,0.0
Albania,2006,55-74 years,0.0
Albania,2006,75+ years,0.0
Albania,2007,75+ years,5.23
Albania,2007,15-24 years,4.63
Albania,2007,25-34 years,4.36
Albania,2007,55-74 years,4.07
Albania,2007,35-54 years,3.57
Albania,2007,5-14 years,0.0
Albania,2008,75+ years,8.42
Albania,2008,15-24 years,7.24
Albania,2008,25-34 years,4.93
Albania,2008,35-54 years,4.82
Albania,2008,55-74 years,3.09
Albania,2008,5-14 years,0.41
Albania,2009,15-24 years,0.0
Albania,2009,25-34 years,0.0
Albania,2009,35-54 years,0.0
Albania,2009,5-14 years,0.0
Albania,2009,55-74 years,0.0
Albania,2009,75+ years,0.0
Albania,2010,25-34 years,3.27
Albania,2010,75+ years,3.1
Albania,2010,35-54 years,3.04
Albania,2010,55-74 years,2.9
Albania,2010,15-24 years,2.28
Albania,2010,5-14 years,0.89
Antigua and Barbuda,1985,15-24 years,0.0
Antigua and Barbuda,1985,25-34 years,0.0
Antigua and Barbuda,1985,35-54 years,0.0
Antigua and Barbuda,1985,5-14 years,0.0
Antigua and Barbuda,1985,55-74 years,0.0
Antigua and Barbuda,1985,75+ years,0.0
Antigua and Barbuda,1986,15-24 years,0.0
Antigua and Barbuda,1986,25-34 years,0.0
Antigua and Barbuda,1986,35-54 years,0.0
Antigua and Barbuda,1986,5-14 years,0.0
Antigua and Barbuda,1986,55-74 years,0.0
Antigua and Barbuda,1986,75+ years,0.0
Antigua and Barbuda,1987,15-24 years,0.0
Antigua and Barbuda,1987,25-34 years,0.0
Antigua and Barbuda,1987,35-54 years,0.0
Antigua and Barbuda,1987,5-14 years,0.0
Antigua and Barbuda,1987,55-74 years,0.0
Antigua and Barbuda,1987,75+ years,0.0
Antigua and Barbuda,1988,15-24 years,0.0
Antigua and Barbuda,1988,25-34 years,0.0
Antigua and Barbuda,1988,35-54 years,0.0
Antigua and Barbuda,1988,5-14 years,0.0
Antigua and Barbuda,1988,55-74 years,0.0
Antigua and Barbuda,1988,75+ years,0.0
Antigua and Barbuda,1989,15-24 years,0.0
Antigua and Barbuda,1989,25-34 years,0.0
Antigua and Barbuda,1989,35-54 years,0.0
Antigua and Barbuda,1989,5-14 years,0.0
Antigua and Barbuda,1989,55-74 years,0.0
Antigua and Barbuda,1989,75+ years,0.0
Antigua and Barbuda,1990,15-24 years,0.0
Antigua and Barbuda,1990,25-34 years,0.0
Antigua and Barbuda,1990,35-54 years,0.0
Antigua and Barbuda,1990,5-14 years,0.0
Antigua and Barbuda,1990,55-74 years,0.0
Antigua and Barbuda,1990,75+ years,0.0
Antigua and Barbuda,1991,15-24 years,0.0
Antigua and Barbuda,1991,25-34 years,0.0
Antigua and Barbuda,1991,35-54 years,0.0
Antigua and Barbuda,1991,5-14 years,0.0
Antigua and Barbuda,1991,55-74 years,0.0
Antigua and Barbuda,1991,75+ years,0.0
Antigua and Barbuda,1992,15-24 years,0.0
Antigua and Barbuda,1992,25-34 years,0.0
Antigua and Barbuda,1992,35-54 years,0.0
Antigua and Barbuda,1992,5-14 years,0.0
Antigua and Barbuda,1992,55-74 years,0.0
Antigua and Barbuda,1992,75+ years,0.0
Antigua and Barbuda,1993,15-24 years,0.0
Antigua and Barbuda,1993,25-34 years,0.0
Antigua and Barbuda,1993,35-54 years,0.0
Antigua and Barbuda,1993,5-14 years,0.0
Antigua and Barbuda,1993,55-74 years,0.0
Antigua and Barbuda,1993,75+ years,0.0
Antigua and Barbuda,1994,15-24 years,0.0
Antigua and Barbuda,1994,25-34 years,0.0
Antigua and Barbuda,1994,35-54 years,0.0
Antigua and Barbuda,1994,5-14 years,0.0
Antigua and Barbuda,1994,55-74 years,0.0
Antigua and Barbuda,1994,75+ years,0.0
Antigua and Barbuda,1995,15-24 years,0.0
Antigua and Barbuda,1995,25-34 years,0.0
Antigua and Barbuda,1995,35-54 years,0.0
Antigua and Barbuda,1995,5-14 years,0.0
Antigua and Barbuda,1995,55-74 years,0.0
Antigua and Barbuda,1995,75+ years,0.0
Antigua and Barbuda,1998,15-24 years,0.0
Antigua and Barbuda,1998,25-34 years,0.0
Antigua and Barbuda,1998,35-54 years,0.0
Antigua and Barbuda,1998,5-14 years,0.0
Antigua and Barbuda,1998,55-74 years,0.0
Antigua and Barbuda,1998,75+ years,0.0
Antigua and Barbuda,1999,15-24 years,0.0
Antigua and Barbuda,1999,25-34 years,0.0
Antigua and Barbuda,1999,35-54 years,0.0
Antigua and Barbuda,1999,5-14 years,0.0
Antigua and Barbuda,1999,55-74 years,0.0
Antigua and Barbuda,1999,75+ years,0.0
Antigua and Barbuda,2000,15-24 years,0.0
Antigua and Barbuda,2000,25-34 years,0.0
Antigua and Barbuda,2000,35-54 years,0.0
Antigua and Barbuda,2000,5-14 years,0.0
Antigua and Barbuda,2000,55-74 years,0.0
Antigua and Barbuda,2000,75+ years,0.0
Antigua and Barbuda,2001,15-24 years,0.0
Antigua and Barbuda,2001,25-34 years,0.0
Antigua and Barbuda,2001,35-54 years,0.0
Antigua and Barbuda,2001,5-14 years,0.0
Antigua and Barbuda,2001,55-74 years,0.0
Antigua and Barbuda,2001,75+ years,0.0
Antigua and Barbuda,2002,15-24 years,0.0
Antigua and Barbuda,2002,25-34 years,0.0
Antigua and Barbuda,2002,35-54 years,0.0
Antigua and Barbuda,2002,5-14 years,0.0
Antigua and Barbuda,2002,55-74 years,0.0
Antigua and Barbuda,2002,75+ years,0.0
Antigua and Barbuda,2003,15-24 years,0.0
Antigua and Barbuda,2003,25-34 years,0.0
Antigua and Barbuda,2003,35-54 years,0.0
Antigua and Barbuda,2003,5-14 years,0.0
Antigua and Barbuda,2003,55-74 years,0.0
Antigua and Barbuda,2003,75+ years,0.0
Antigua and Barbuda,2004,15-24 years,0.0
Antigua and Barbuda,2004,25-34 years,0.0
Antigua and Barbuda,2004,35-54 years,0.0
Antigua and Barbuda,2004,5-14 years,0.0
Antigua and Barbuda,2004,55-74 years,0.0
Antigua and Barbuda,2004,75+ years,0.0
Antigua and Barbuda,2005,15-24 years,0.0
Antigua and Barbuda,2005,25-34 years,0.0
Antigua and Barbuda,2005,35-54 years,0.0
Antigua and Barbuda,2005,5-14 years,0.0
Antigua and Barbuda,2005,55-74 years,0.0
Antigua and Barbuda,2005,75+ years,0.0
Antigua and Barbuda,2006,15-24 years,0.0
Antigua and Barbuda,2006,25-34 years,0.0
Antigua and Barbuda,2006,35-54 years,0.0
Antigua and Barbuda,2006,5-14 years,0.0
Antigua and Barbuda,2006,55-74 years,0.0
Antigua and Barbuda,2006,75+ years,0.0
Antigua and Barbuda,2007,15-24 years,0.0
Antigua and Barbuda,2007,25-34 years,0.0
Antigua and Barbuda,2007,35-54 years,0.0
Antigua and Barbuda,2007,5-14 years,0.0
Antigua and Barbuda,2007,55-74 years,0.0
Antigua and Barbuda,2007,75+ years,0.0
Antigua and Barbuda,2008,15-24 years,0.0
Antigua and Barbuda,2008,25-34 years,0.0
Antigua and Barbuda,2008,35-54 years,0.0
Antigua and Barbuda,2008,5-14 years,0.0
Antigua and Barbuda,2008,55-74 years,0.0
Antigua and Barbuda,2008,75+ years,0.0
Antigua and Barbuda,2009,15-24 years,0.0
Antigua and Barbuda,2009,25-34 years,0.0
Antigua and Barbuda,2009,35-54 years,0.0
Antigua and Barbuda,2009,5-14 years,0.0
Antigua and Barbuda,2009,55-74 years,0.0
Antigua and Barbuda,2009,75+ years,0.0
Antigua and Barbuda,2012,15-24 years,0.0
Antigua and Barbuda,2012,25-34 years,0.0
Antigua and Barbuda,2012,35-54 years,0.0
Antigua and Barbuda,2012,5-14 years,0.0
Antigua and Barbuda,2012,55-74 years,0.0
Antigua and Barbuda,2012,75+ years,0.0
Antigua and Barbuda,2013,15-24 years,0.0
Antigua and Barbuda,2013,25-34 years,0.0
Antigua and Barbuda,2013,35-54 years,0.0
Antigua and Barbuda,2013,5-14 years,0.0
Antigua and Barbuda,2013,55-74 years,0.0
Antigua and Barbuda,2013,75+ years,0.0
Antigua and Barbuda,2014,15-24 years,0.0
Antigua and Barbuda,2014,25-34 years,0.0
Antigua and Barbuda,2014,35-54 years,0.0
Antigua and Barbuda,2014,5-14 years,0.0
Antigua and Barbuda,2014,55-74 years,0.0
Antigua and Barbuda,2014,75+ years,0.0
Antigua and Barbuda,2015,55-74 years,15.62
Antigua and Barbuda,2015,15-24 years,0.0
Antigua and Barbuda,2015,25-34 years,0.0
Antigua and Barbuda,2015,35-54 years,0.0
Antigua and Barbuda,2015,5-14 years,0.0
Antigua and Barbuda,2015,75+ years,0.0
Argentina,1985,55-74 years,9.11
Argentina,1985,75+ years,7.64
Argentina,1985,35-54 years,4.23
Argentina,1985,25-34 years,2.97
Argentina,1985,15-24 years,2.93
Argentina,1985,5-14 years,0.37
Argentina,1986,75+ years,8.89
Argentina,1986,55-74 years,8.67
Argentina,1986,35-54 years,5.57
Argentina,1986,25-34 years,4.37
Argentina,1986,15-24 years,4.27
Argentina,1986,5-14 years,0.24
Argentina,1987,75+ years,10.42
Argentina,1987,55-74 years,9.54
Argentina,1987,35-54 years,6.11
Argentina,1987,25-34 years,4.0
Argentina,1987,15-24 years,3.88
Argentina,1987,5-14 years,0.47
Argentina,1988,75+ years,10.13
Argentina,1988,55-74 years,9.66
Argentina,1988,35-54 years,5.64
Argentina,1988,15-24 years,4.11
Argentina,1988,25-34 years,2.74
Argentina,1988,5-14 years,0.35
Argentina,1989,75+ years,10.45
Argentina,1989,55-74 years,8.22
Argentina,1989,35-54 years,4.66
Argentina,1989,25-34 years,3.71
Argentina,1989,15-24 years,3.19
Argentina,1989,5-14 years,0.35
Argentina,1990,75+ years,9.49
Argentina,1990,55-74 years,7.67
Argentina,1990,35-54 years,4.5
Argentina,1990,15-24 years,3.54
Argentina,1990,25-34 years,3.38
Argentina,1990,5-14 years,0.44
Argentina,1991,75+ years,7.6
Argentina,1991,55-74 years,6.74
Argentina,1991,35-54 years,3.6
Argentina,1991,25-34 years,3.33
Argentina,1991,15-24 years,2.27
Argentina,1991,5-14 years,0.27
Argentina,1992,75+ years,6.78
Argentina,1992,55-74 years,5.79
Argentina,1992,35-54 years,3.73
Argentina,1992,25-34 years,3.39
Argentina,1992,15-24 years,2.84
Argentina,1992,5-14 years,0.4
Argentina,1993,75+ years,8.3
Argentina,1993,55-74 years,4.91
Argentina,1993,35-54 years,3.77
Argentina,1993,25-34 years,3.24
Argentina,1993,15-24 years,2.54
Argentina,1993,5-14 years,0.49
Argentina,1994,55-74 years,5.2
Argentina,1994,75+ years,4.72
Argentina,1994,35-54 years,4.12
Argentina,1994,15-24 years,3.3
Argentina,1994,25-34 years,3.04
Argentina,1994,5-14 years,0.34
Argentina,1995,75+ years,6.6
Argentina,1995,55-74 years,5.1
Argentina,1995,35-54 years,3.52
Argentina,1995,15-24 years,3.31
Argentina,1995,25-34 years,2.59
Argentina,1995,5-14 years,0.58
Argentina,1996,75+ years,7.7
Argentina,1996,55-74 years,4.94
Argentina,1996,35-54 years,4.38
Argentina,1996,15-24 years,3.36
Argentina,1996,25-34 years,2.14
Argentina,1996,5-14 years,0.28
Argentina,1997,75+ years,5.5
Argentina,1997,55-74 years,4.91
Argentina,1997,35-54 years,4.04
Argentina,1997,15-24 years,3.57
Argentina,1997,25-34 years,2.91
Argentina,1997,5-14 years,0.33
Argentina,1998,75+ years,6.0
Argentina,1998,55-74 years,5.19
Argentina,1998,15-24 years,3.56
Argentina,1998,35-54 years,3.55
Argentina,1998,25-34 years,2.07
Argentina,1998,5-14 years,0.6
Argentina,1999,55-74 years,5.02
Argentina,1999,75+ years,4.82
Argentina,1999,35-54 years,3.36
Argentina,1999,15-24 years,3.13
Argentina,1999,25-34 years,1.95
Argentina,1999,5-14 years,0.59
Argentina,2000,55-74 years,4.82
Argentina,2000,75+ years,4.56
Argentina,2000,35-54 years,4.09
Argentina,2000,15-24 years,3.57
Argentina,2000,25-34 years,2.41
Argentina,2000,5-14 years,0.62
Argentina,2001,75+ years,5.83
Argentina,2001,15-24 years,5.09
Argentina,2001,55-74 years,4.91
Argentina,2001,35-54 years,4.88
Argentina,2001,25-34 years,3.05
Argentina,2001,5-14 years,0.7
Argentina,2002,55-74 years,6.35
Argentina,2002,75+ years,5.73
Argentina,2002,15-24 years,4.84
Argentina,2002,35-54 years,4.45
Argentina,2002,25-34 years,3.28
Argentina,2002,5-14 years,0.67
Argentina,2003,75+ years,6.51
Argentina,2003,15-24 years,5.49
Argentina,2003,55-74 years,5.15
Argentina,2003,35-54 years,4.45
Argentina,2003,25-34 years,2.41
Argentina,2003,5-14 years,0.73
Argentina,2004,15-24 years,4.88
Argentina,2004,55-74 years,4.7
Argentina,2004,75+ years,4.66
Argentina,2004,35-54 years,4.16
Argentina,2004,25-34 years,3.37
Argentina,2004,5-14 years,0.73
Argentina,2005,55-74 years,5.47
Argentina,2005,75+ years,5.36
Argentina,2005,15-24 years,4.54
Argentina,2005,35-54 years,3.8
Argentina,2005,25-34 years,3.45
Argentina,2005,5-14 years,0.62
Argentina,2006,15-24 years,5.35
Argentina,2006,55-74 years,3.85
Argentina,2006,35-54 years,3.52
Argentina,2006,25-34 years,3.42
Argentina,2006,75+ years,2.74
Argentina,2006,5-14 years,0.76
Argentina,2007,15-24 years,4.43
Argentina,2007,25-34 years,4.04
Argentina,2007,55-74 years,3.56
Argentina,2007,35-54 years,3.37
Argentina,2007,75+ years,2.67
Argentina,2007,5-14 years,1.0
Argentina,2008,15-24 years,5.42
Argentina,2008,35-54 years,3.71
Argentina,2008,55-74 years,3.5
Argentina,2008,75+ years,3.03
Argentina,2008,25-34 years,2.97
Argentina,2008,5-14 years,0.58
Argentina,2009,15-24 years,4.91
Argentina,2009,55-74 years,3.56
Argentina,2009,25-34 years,3.29
Argentina,2009,35-54 years,3.17
Argentina,2009,75+ years,2.06
Argentina,2009,5-14 years,0.82
Argentina,2010,15-24 years,4.47
Argentina,2010,35-54 years,3.37
Argentina,2010,25-34 years,3.15
Argentina,2010,55-74 years,3.08
Argentina,2010,75+ years,2.75
Argentina,2010,5-14 years,0.58
Argentina,2011,15-24 years,5.1
Argentina,2011,35-54 years,3.21
Argentina,2011,25-34 years,3.16
Argentina,2011,55-74 years,2.85
Argentina,2011,75+ years,2.38
Argentina,2011,5-14 years,0.84
Argentina,2012,15-24 years,6.03
Argentina,2012,35-54 years,3.28
Argentina,2012,55-74 years,3.24
Argentina,2012,25-34 years,3.16
Argentina,2012,75+ years,2.57
Argentina,2012,5-14 years,0.49
Argentina,2013,15-24 years,4.93
Argentina,2013,25-34 years,3.16
Argentina,2013,35-54 years,3.08
Argentina,2013,55-74 years,3.01
Argentina,2013,75+ years,2.23
Argentina,2013,5-14 years,0.91
Argentina,2014,15-24 years,6.02
Argentina,2014,35-54 years,3.77
Argentina,2014,25-34 years,3.66
Argentina,2014,55-74 years,3.15
Argentina,2014,75+ years,1.89
Argentina,2014,5-14 years,0.99
Argentina,2015,15-24 years,4.51
Argentina,2015,55-74 years,3.55
Argentina,2015,25-34 years,3.52
Argentina,2015,35-54 years,3.13
Argentina,2015,75+ years,2.01
Argentina,2015,5-14 years,0.54
Armenia,1990,35-54 years,4.19
Armenia,1990,55-74 years,2.68
Armenia,1990,75+ years,2.04
Armenia,1990,25-34 years,1.25
Armenia,1990,15-24 years,1.16
Armenia,1990,5-14 years,0.0
Armenia,1991,55-74 years,4.44
Armenia,1991,75+ years,3.78
Armenia,1991,35-54 years,2.27
Armenia,1991,25-34 years,1.17
Armenia,1991,15-24 years,0.0
Armenia,1991,5-14 years,0.0
Armenia,1992,55-74 years,3.8
Armenia,1992,75+ years,3.75
Armenia,1992,35-54 years,1.46
Armenia,1992,15-24 years,0.34
Armenia,1992,25-34 years,0.0
Armenia,1992,5-14 years,0.0
Armenia,1993,75+ years,11.3
Armenia,1993,55-74 years,5.07
Armenia,1993,25-34 years,1.79
Armenia,1993,35-54 years,1.42
Armenia,1993,15-24 years,1.02
Armenia,1993,5-14 years,0.0
Armenia,1994,75+ years,9.67
Armenia,1994,55-74 years,6.29
Armenia,1994,35-54 years,1.6
Armenia,1994,15-24 years,1.34
Armenia,1994,25-34 years,0.31
Armenia,1994,5-14 years,0.27
Armenia,1995,75+ years,3.89
Armenia,1995,55-74 years,3.73
Armenia,1995,25-34 years,3.51
Armenia,1995,35-54 years,1.76
Armenia,1995,15-24 years,0.99
Armenia,1995,5-14 years,0.0
Armenia,1996,55-74 years,3.97
Armenia,1996,35-54 years,1.49
Armenia,1996,25-34 years,1.0
Armenia,1996,15-24 years,0.32
Armenia,1996,5-14 years,0.27
Armenia,1996,75+ years,0.0
Armenia,1997,75+ years,5.84
Armenia,1997,55-74 years,2.63
Armenia,1997,35-54 years,0.61
Armenia,1997,25-34 years,0.34
Armenia,1997,15-24 years,0.0
Armenia,1997,5-14 years,0.0
Armenia,1998,55-74 years,1.99
Armenia,1998,75+ years,1.88
Armenia,1998,35-54 years,1.77
Armenia,1998,25-34 years,0.35
Armenia,1998,5-14 years,0.27
Armenia,1998,15-24 years,0.0
Armenia,1999,75+ years,5.28
Armenia,1999,55-74 years,3.03
Armenia,1999,35-54 years,0.75
Armenia,1999,25-34 years,0.7
Armenia,1999,15-24 years,0.0
Armenia,1999,5-14 years,0.0
Armenia,2000,75+ years,7.52
Armenia,2000,25-34 years,1.43
Armenia,2000,55-74 years,1.37
Armenia,2000,35-54 years,0.18
Armenia,2000,15-24 years,0.0
Armenia,2000,5-14 years,0.0
Armenia,2001,75+ years,6.03
Armenia,2001,55-74 years,1.38
Armenia,2001,35-54 years,0.53
Armenia,2001,25-34 years,0.36
Armenia,2001,15-24 years,0.0
Armenia,2001,5-14 years,0.0
Armenia,2002,75+ years,1.71
Armenia,2002,35-54 years,1.28
Armenia,2002,55-74 years,1.19
Armenia,2002,25-34 years,0.45
Armenia,2002,15-24 years,0.34
Armenia,2002,5-14 years,0.0
Armenia,2003,75+ years,4.77
Armenia,2003,55-74 years,1.2
Armenia,2003,35-54 years,0.63
Armenia,2003,15-24 years,0.0
Armenia,2003,25-34 years,0.0
Armenia,2003,5-14 years,0.0
Armenia,2006,55-74 years,3.35
Armenia,2006,75+ years,2.54
Armenia,2006,35-54 years,1.11
Armenia,2006,25-34 years,0.93
Armenia,2006,15-24 years,0.0
Armenia,2006,5-14 years,0.0
Armenia,2007,55-74 years,3.32
Armenia,2007,35-54 years,1.8
Armenia,2007,75+ years,1.26
Armenia,2007,15-24 years,1.04
Armenia,2007,25-34 years,0.0
Armenia,2007,5-14 years,0.0
Armenia,2008,35-54 years,2.09
Armenia,2008,55-74 years,1.92
Armenia,2008,25-34 years,0.79
Armenia,2008,5-14 years,0.5
Armenia,2008,15-24 years,0.32
Armenia,2008,75+ years,0.0
Armenia,2009,75+ years,1.25
Armenia,2009,55-74 years,1.21
Armenia,2009,25-34 years,0.87
Armenia,2009,35-54 years,0.69
Armenia,2009,15-24 years,0.36
Armenia,2009,5-14 years,0.0
Armenia,2010,55-74 years,2.76
Armenia,2010,75+ years,2.45
Armenia,2010,5-14 years,1.2
Armenia,2010,35-54 years,1.17
Armenia,2010,15-24 years,0.74
Armenia,2010,25-34 years,0.42
Armenia,2011,75+ years,6.92
Armenia,2011,15-24 years,1.54
Armenia,2011,55-74 years,1.17
Armenia,2011,35-54 years,0.71
Armenia,2011,25-34 years,0.0
Armenia,2011,5-14 years,0.0
Armenia,2012,75+ years,3.29
Armenia,2012,35-54 years,1.63
Armenia,2012,25-34 years,1.54
Armenia,2012,55-74 years,1.46
Armenia,2012,15-24 years,0.78
Armenia,2012,5-14 years,0.0
Armenia,2013,75+ years,6.31
Armenia,2013,55-74 years,3.92
Armenia,2013,35-54 years,1.42
Armenia,2013,15-24 years,0.41
Armenia,2013,25-34 years,0.0
Armenia,2013,5-14 years,0.0
Armenia,2014,75+ years,6.12
Armenia,2014,55-74 years,1.38
Armenia,2014,15-24 years,0.88
Armenia,2014,5-14 years,0.58
Armenia,2014,35-54 years,0.48
Armenia,2014,25-34 years,0.0
Armenia,2015,75+ years,4.96
Armenia,2015,55-74 years,1.68
Armenia,2015,15-24 years,1.42
Armenia,2015,35-54 years,0.97
Armenia,2015,25-34 years,0.73
Armenia,2015,5-14 years,0.0
Armenia,2016,75+ years,1.95
Armenia,2016,55-74 years,1.95
Armenia,2016,35-54 years,0.74
Armenia,2016,25-34 years,0.72
Armenia,2016,15-24 years,0.51
Aruba,1995,15-24 years,0.0
Aruba,1995,25-34 years,0.0
Aruba,1995,35-54 years,0.0
Aruba,1995,5-14 years,0.0
Aruba,1995,55-74 years,0.0
Aruba,1995,75+ years,0.0
Aruba,1999,15-24 years,0.0
Aruba,1999,25-34 years,0.0
Aruba,1999,35-54 years,0.0
Aruba,1999,5-14 years,0.0
Aruba,1999,55-74 years,0.0
Aruba,1999,75+ years,0.0
Aruba,2000,75+ years,133.42
Aruba,2000,35-54 years,12.8
Aruba,2000,15-24 years,0.0
Aruba,2000,25-34 years,0.0
Aruba,2000,5-14 years,0.0
Aruba,2000,55-74 years,0.0
Aruba,2001,15-24 years,0.0
Aruba,2001,25-34 years,0.0
Aruba,2001,35-54 years,0.0
Aruba,2001,5-14 years,0.0
Aruba,2001,55-74 years,0.0
Aruba,2001,75+ years,0.0
Aruba,2002,15-24 years,0.0
Aruba,2002,25-34 years,0.0
Aruba,2002,35-54 years,0.0
Aruba,2002,5-14 years,0.0
Aruba,2002,55-74 years,0.0
Aruba,2002,75+ years,0.0
Aruba,2003,15-24 years,0.0
Aruba,2003,25-34 years,0.0
Aruba,2003,35-54 years,0.0
Aruba,2003,5-14 years,0.0
Aruba,2003,55-74 years,0.0
Aruba,2003,75+ years,0.0
Aruba,2004,15-24 years,15.04
Aruba,2004,25-34 years,0.0
Aruba,2004,35-54 years,0.0
Aruba,2004,5-14 years,0.0
Aruba,2004,55-74 years,0.0
Aruba,2004,75+ years,0.0
Aruba,2005,15-24 years,14.61
Aruba,2005,25-34 years,14.28
Aruba,2005,55-74 years,12.29
Aruba,2005,35-54 years,11.04
Aruba,2005,5-14 years,0.0
Aruba,2005,75+ years,0.0
Aruba,2006,35-54 years,10.93
Aruba,2006,15-24 years,0.0
Aruba,2006,25-34 years,0.0
Aruba,2006,5-14 years,0.0
Aruba,2006,55-74 years,0.0
Aruba,2006,75+ years,0.0
Aruba,2007,55-74 years,11.17
Aruba,2007,15-24 years,0.0
Aruba,2007,25-34 years,0.0
Aruba,2007,35-54 years,0.0
Aruba,2007,5-14 years,0.0
Aruba,2007,75+ years,0.0
Aruba,2008,35-54 years,5.5
Aruba,2008,15-24 years,0.0
Aruba,2008,25-34 years,0.0
Aruba,2008,5-14 years,0.0
Aruba,2008,55-74 years,0.0
Aruba,2008,75+ years,0.0
Aruba,2009,15-24 years,0.0
Aruba,2009,25-34 years,0.0
Aruba,2009,35-54 years,0.0
Aruba,2009,5-14 years,0.0
Aruba,2009,55-74 years,0.0
Aruba,2009,75+ years,0.0
Aruba,2010,55-74 years,9.82
Aruba,2010,15-24 years,0.0
Aruba,2010,25-34 years,0.0
Aruba,2010,35-54 years,0.0
Aruba,2010,5-14 years,0.0
Aruba,2010,75+ years,0.0
Aruba,2011,25-34 years,15.96
Aruba,2011,55-74 years,9.49
Aruba,2011,15-24 years,0.0
Aruba,2011,35-54 years,0.0
Aruba,2011,5-14 years,0.0
Aruba,2011,75+ years,0.0
Australia,1985,75+ years,9.4
Australia,1985,55-74 years,8.47
Australia,1985,35-54 years,7.8
Australia,1985,15-24 years,5.29
Australia,1985,25-34 years,5.02
Australia,1985,5-14 years,0.32
Australia,1986,35-54 years,8.95
Australia,1986,55-74 years,8.04
Australia,1986,25-34 years,6.77
Australia,1986,15-24 years,5.86
Australia,1986,75+ years,5.68
Australia,1986,5-14 years,0.08
Australia,1987,75+ years,9.02
Australia,1987,55-74 years,8.34
Australia,1987,35-54 years,7.43
Australia,1987,15-24 years,5.49
Australia,1987,25-34 years,5.27
Australia,1987,5-14 years,0.08
Australia,1988,75+ years,9.13
Australia,1988,25-34 years,7.82
Australia,1988,35-54 years,7.78
Australia,1988,55-74 years,7.74
Australia,1988,15-24 years,3.95
Australia,1988,5-14 years,0.08
Australia,1989,55-74 years,9.25
