country,year,age,rate
Albania,2005,75+ years,0.0
Albania,2006,15-24 years,0.0
Albania,2006,25-34 years,0.0
Albania,2006,35-54 years,0.0
Albania,2006,5-14 years,0.0
Albania,2006,55-74 years,0.0
Albania,2006,75+ years,0.0
Albania,2007,75+ years,18.88
Albania,2007,35-54 years,7.66
Albania,2007,55-74 years,6.25
Albania,2007,25-34 years,5.22
Albania,2007,15-24 years,4.51
Albania,2007,5-14 years,1.47
Albania,2008,25-34 years,12.15
Albania,2008,35-54 years,9.81
Albania,2008,55-74 years,9.18
Albania,2008,75+ years,4.49
Albania,2008,15-24 years,3.84
Albania,2008,5-14 years,2.67
Albania,2009,15-24 years,0.0
Albania,2009,25-34 years,0.0
Albania,2009,35-54 years,0.0
Albania,2009,5-14 years,0.0
Albania,2009,55-74 years,0.0
Albania,2009,75+ years,0.0
Albania,2010,55-74 years,8.27
Albania,2010,35-54 years,5.38
Albania,2010,25-34 years,5.01
Albania,2010,75+ years,3.94
Albania,2010,15-24 years,3.58
Albania,2010,5-14 years,0.0
Antigua and Barbuda,1985,15-24 years,0.0
Antigua and Barbuda,1985,25-34 years,0.0
Antigua and Barbuda,1985,35-54 years,0.0
Antigua and Barbuda,1985,5-14 years,0.0
Antigua and Barbuda,1985,55-74 years,0.0
Antigua and Barbuda,1985,75+ years,0.0
Antigua and Barbuda,1986,15-24 years,0.0
Antigua and Barbuda,1986,25-34 years,0.0
Antigua and Barbuda,1986,35-54 years,0.0
Antigua and Barbuda,1986,5-14 years,0.0
Antigua and Barbuda,1986,55-74 years,0.0
Antigua and Barbuda,1986,75+ years,0.0
Antigua and Barbuda,1987,15-24 years,0.0
Antigua and Barbuda,1987,25-34 years,0.0
Antigua and Barbuda,1987,35-54 years,0.0
Antigua and Barbuda,1987,5-14 years,0.0
Antigua and Barbuda,1987,55-74 years,0.0
Antigua and Barbuda,1987,75+ years,0.0
Antigua and Barbuda,1988,15-24 years,0.0
Antigua and Barbuda,1988,25-34 years,0.0
Antigua and Barbuda,1988,35-54 years,0.0
Antigua and Barbuda,1988,5-14 years,0.0
Antigua and Barbuda,1988,55-74 years,0.0
Antigua and Barbuda,1988,75+ years,0.0
Antigua and Barbuda,1989,15-24 years,0.0
Antigua and Barbuda,1989,25-34 years,0.0
Antigua and Barbuda,1989,35-54 years,0.0
Antigua and Barbuda,1989,5-14 years,0.0
Antigua and Barbuda,1989,55-74 years,0.0
Antigua and Barbuda,1989,75+ years,0.0
Antigua and Barbuda,1990,35-54 years,17.24
Antigua and Barbuda,1990,15-24 years,0.0
Antigua and Barbuda,1990,25-34 years,0.0
Antigua and Barbuda,1990,5-14 years,0.0
Antigua and Barbuda,1990,55-74 years,0.0
Antigua and Barbuda,1990,75+ years,0.0
Antigua and Barbuda,1991,15-24 years,0.0
Antigua and Barbuda,1991,25-34 years,0.0
Antigua and Barbuda,1991,35-54 years,0.0
Antigua and Barbuda,1991,5-14 years,0.0
Antigua and Barbuda,1991,55-74 years,0.0
Antigua and Barbuda,1991,75+ years,0.0
Antigua and Barbuda,1992,15-24 years,0.0
Antigua and Barbuda,1992,25-34 years,0.0
Antigua and Barbuda,1992,35-54 years,0.0
Antigua and Barbuda,1992,5-14 years,0.0
Antigua and Barbuda,1992,55-74 years,0.0
Antigua and Barbuda,1992,75+ years,0.0
Antigua and Barbuda,1993,25-34 years,15.0
Antigua and Barbuda,1993,15-24 years,0.0
Antigua and Barbuda,1993,35-54 years,0.0
Antigua and Barbuda,1993,5-14 years,0.0
Antigua and Barbuda,1993,55-74 years,0.0
Antigua and Barbuda,1993,75+ years,0.0
Antigua and Barbuda,1994,15-24 years,0.0
Antigua and Barbuda,1994,25-34 years,0.0
Antigua and Barbuda,1994,35-54 years,0.0
Antigua and Barbuda,1994,5-14 years,0.0
Antigua and Barbuda,1994,55-74 years,0.0
Antigua and Barbuda,1994,75+ years,0.0
Antigua and Barbuda,1995,15-24 years,0.0
Antigua and Barbuda,1995,25-34 years,0.0
Antigua and Barbuda,1995,35-54 years,0.0
Antigua and Barbuda,1995,5-14 years,0.0
Antigua and Barbuda,1995,55-74 years,0.0
Antigua and Barbuda,1995,75+ years,0.0
Antigua and Barbuda,1998,15-24 years,0.0
Antigua and Barbuda,1998,25-34 years,0.0
Antigua and Barbuda,1998,35-54 years,0.0
Antigua and Barbuda,1998,5-14 years,0.0
Antigua and Barbuda,1998,55-74 years,0.0
Antigua and Barbuda,1998,75+ years,0.0
Antigua and Barbuda,1999,15-24 years,0.0
Antigua and Barbuda,1999,25-34 years,0.0
Antigua and Barbuda,1999,35-54 years,0.0
Antigua and Barbuda,1999,5-14 years,0.0
Antigua and Barbuda,1999,55-74 years,0.0
Antigua and Barbuda,1999,75+ years,0.0
Antigua and Barbuda,2000,55-74 years,30.0
Antigua and Barbuda,2000,35-54 years,9.97
Antigua and Barbuda,2000,15-24 years,0.0
Antigua and Barbuda,2000,25-34 years,0.0
Antigua and Barbuda,2000,5-14 years,0.0
Antigua and Barbuda,2000,75+ years,0.0
Antigua and Barbuda,2001,35-54 years,19.45
Antigua and Barbuda,2001,15-24 years,0.0
Antigua and Barbuda,2001,25-34 years,0.0
Antigua and Barbuda,2001,5-14 years,0.0
Antigua and Barbuda,2001,55-74 years,0.0
Antigua and Barbuda,2001,75+ years,0.0
Antigua and Barbuda,2002,15-24 years,0.0
Antigua and Barbuda,2002,25-34 years,0.0
Antigua and Barbuda,2002,35-54 years,0.0
Antigua and Barbuda,2002,5-14 years,0.0
Antigua and Barbuda,2002,55-74 years,0.0
Antigua and Barbuda,2002,75+ years,0.0
Antigua and Barbuda,2003,55-74 years,27.82
Antigua and Barbuda,2003,15-24 years,0.0
Antigua and Barbuda,2003,25-34 years,0.0
Antigua and Barbuda,2003,35-54 years,0.0
Antigua and Barbuda,2003,5-14 years,0.0
Antigua and Barbuda,2003,75+ years,0.0
Antigua and Barbuda,2004,55-74 years,27.29
Antigua and Barbuda,2004,35-54 years,8.77
Antigua and Barbuda,2004,15-24 years,0.0
Antigua and Barbuda,2004,25-34 years,0.0
Antigua and Barbuda,2004,5-14 years,0.0
Antigua and Barbuda,2004,75+ years,0.0
Antigua and Barbuda,2005,15-24 years,0.0
Antigua and Barbuda,2005,25-34 years,0.0
Antigua and Barbuda,2005,35-54 years,0.0
Antigua and Barbuda,2005,5-14 years,0.0
Antigua and Barbuda,2005,55-74 years,0.0
Antigua and Barbuda,2005,75+ years,0.0
Antigua and Barbuda,2006,15-24 years,0.0
Antigua and Barbuda,2006,25-34 years,0.0
Antigua and Barbuda,2006,35-54 years,0.0
Antigua and Barbuda,2006,5-14 years,0.0
Antigua and Barbuda,2006,55-74 years,0.0
Antigua and Barbuda,2006,75+ years,0.0
Antigua and Barbuda,2007,35-54 years,7.98
Antigua and Barbuda,2007,15-24 years,0.0
Antigua and Barbuda,2007,25-34 years,0.0
Antigua and Barbuda,2007,5-14 years,0.0
Antigua and Barbuda,2007,55-74 years,0.0
Antigua and Barbuda,2007,75+ years,0.0
Antigua and Barbuda,2008,15-24 years,0.0
Antigua and Barbuda,2008,25-34 years,0.0
Antigua and Barbuda,2008,35-54 years,0.0
Antigua and Barbuda,2008,5-14 years,0.0
Antigua and Barbuda,2008,55-74 years,0.0
Antigua and Barbuda,2008,75+ years,0.0
Antigua and Barbuda,2009,15-24 years,0.0
Antigua and Barbuda,2009,25-34 years,0.0
Antigua and Barbuda,2009,35-54 years,0.0
Antigua and Barbuda,2009,5-14 years,0.0
Antigua and Barbuda,2009,55-74 years,0.0
Antigua and Barbuda,2009,75+ years,0.0
Antigua and Barbuda,2012,15-24 years,0.0
Antigua and Barbuda,2012,25-34 years,0.0
Antigua and Barbuda,2012,35-54 years,0.0
Antigua and Barbuda,2012,5-14 years,0.0
Antigua and Barbuda,2012,55-74 years,0.0
Antigua and Barbuda,2012,75+ years,0.0
Antigua and Barbuda,2013,15-24 years,0.0
Antigua and Barbuda,2013,25-34 years,0.0
Antigua and Barbuda,2013,35-54 years,0.0
Antigua and Barbuda,2013,5-14 years,0.0
Antigua and Barbuda,2013,55-74 years,0.0
Antigua and Barbuda,2013,75+ years,0.0
Antigua and Barbuda,2014,15-24 years,0.0
Antigua and Barbuda,2014,25-34 years,0.0
Antigua and Barbuda,2014,35-54 years,0.0
Antigua and Barbuda,2014,5-14 years,0.0
Antigua and Barbuda,2014,55-74 years,0.0
Antigua and Barbuda,2014,75+ years,0.0
Antigua and Barbuda,2015,15-24 years,0.0
Antigua and Barbuda,2015,25-34 years,0.0
Antigua and Barbuda,2015,35-54 years,0.0
Antigua and Barbuda,2015,5-14 years,0.0
Antigua and Barbuda,2015,55-74 years,0.0
Antigua and Barbuda,2015,75+ years,0.0
Argentina,1985,75+ years,55.65
Argentina,1985,55-74 years,24.29
Argentina,1985,35-54 years,12.37
Argentina,1985,25-34 years,7.92
Argentina,1985,15-24 years,6.46
Argentina,1985,5-14 years,0.53
Argentina,1986,75+ years,63.01
Argentina,1986,55-74 years,26.39
Argentina,1986,35-54 years,14.2
Argentina,1986,25-34 years,9.3
Argentina,1986,15-24 years,7.66
Argentina,1986,5-14 years,0.33
Argentina,1987,75+ years,54.08
Argentina,1987,55-74 years,26.15
Argentina,1987,35-54 years,14.14
Argentina,1987,25-34 years,8.44
Argentina,1987,15-24 years,7.27
Argentina,1987,5-14 years,0.48
Argentina,1988,75+ years,55.1
Argentina,1988,55-74 years,26.46
Argentina,1988,35-54 years,13.62
Argentina,1988,25-34 years,9.45
Argentina,1988,15-24 years,8.36
Argentina,1988,5-14 years,0.62
Argentina,1989,75+ years,52.0
Argentina,1989,55-74 years,26.03
Argentina,1989,35-54 years,12.97
Argentina,1989,25-34 years,9.58
Argentina,1989,15-24 years,7.22
Argentina,1989,5-14 years,0.55
Argentina,1990,75+ years,54.97
Argentina,1990,55-74 years,23.59
Argentina,1990,35-54 years,12.13
Argentina,1990,25-34 years,7.92
Argentina,1990,15-24 years,6.6
Argentina,1990,5-14 years,0.67
Argentina,1991,75+ years,46.46
Argentina,1991,55-74 years,21.08
Argentina,1991,35-54 years,11.12
Argentina,1991,25-34 years,9.4
Argentina,1991,15-24 years,6.54
Argentina,1991,5-14 years,0.83
Argentina,1992,75+ years,47.91
Argentina,1992,55-74 years,23.25
Argentina,1992,35-54 years,13.49
Argentina,1992,25-34 years,9.84
Argentina,1992,15-24 years,8.79
Argentina,1992,5-14 years,0.65
Argentina,1993,75+ years,55.37
Argentina,1993,55-74 years,23.95
Argentina,1993,35-54 years,13.48
Argentina,1993,25-34 years,9.97
Argentina,1993,15-24 years,8.01
Argentina,1993,5-14 years,0.74
Argentina,1994,75+ years,45.38
Argentina,1994,55-74 years,23.22
Argentina,1994,35-54 years,14.13
Argentina,1994,25-34 years,9.54
Argentina,1994,15-24 years,8.26
Argentina,1994,5-14 years,0.8
Argentina,1995,75+ years,43.8
Argentina,1995,55-74 years,23.26
Argentina,1995,35-54 years,12.8
Argentina,1995,25-34 years,9.06
Argentina,1995,15-24 years,8.9
Argentina,1995,5-14 years,0.45
Argentina,1996,75+ years,42.4
Argentina,1996,55-74 years,20.75
Argentina,1996,35-54 years,13.62
Argentina,1996,25-34 years,9.25
Argentina,1996,15-24 years,8.79
Argentina,1996,5-14 years,0.42
Argentina,1997,75+ years,39.78
Argentina,1997,55-74 years,20.29
Argentina,1997,35-54 years,12.73
Argentina,1997,25-34 years,8.66
Argentina,1997,15-24 years,8.13
Argentina,1997,5-14 years,0.55
Argentina,1998,75+ years,39.87
Argentina,1998,55-74 years,22.77
Argentina,1998,35-54 years,12.73
Argentina,1998,15-24 years,10.08
Argentina,1998,25-34 years,10.05
Argentina,1998,5-14 years,0.46
Argentina,1999,75+ years,39.55
Argentina,1999,55-74 years,23.46
Argentina,1999,35-54 years,13.47
Argentina,1999,15-24 years,10.82
Argentina,1999,25-34 years,10.42
Argentina,1999,5-14 years,0.6
Argentina,2000,75+ years,44.18
Argentina,2000,55-74 years,25.8
Argentina,2000,35-54 years,14.11
Argentina,2000,15-24 years,14.0
Argentina,2000,25-34 years,12.72
Argentina,2000,5-14 years,0.51
Argentina,2001,75+ years,45.66
Argentina,2001,55-74 years,27.94
Argentina,2001,15-24 years,15.58
Argentina,2001,35-54 years,15.08
Argentina,2001,25-34 years,14.02
Argentina,2001,5-14 years,0.82
Argentina,2002,75+ years,41.31
Argentina,2002,55-74 years,25.76
Argentina,2002,15-24 years,16.27
Argentina,2002,25-34 years,14.94
Argentina,2002,35-54 years,14.77
Argentina,2002,5-14 years,1.05
Argentina,2003,75+ years,46.75
Argentina,2003,55-74 years,23.83
Argentina,2003,15-24 years,19.15
Argentina,2003,25-34 years,16.02
Argentina,2003,35-54 years,14.75
Argentina,2003,5-14 years,1.05
Argentina,2004,75+ years,38.25
Argentina,2004,55-74 years,20.33
Argentina,2004,15-24 years,19.59
Argentina,2004,25-34 years,15.19
Argentina,2004,35-54 years,13.98
Argentina,2004,5-14 years,1.22
Argentina,2005,75+ years,37.43
Argentina,2005,55-74 years,19.52
Argentina,2005,15-24 years,19.08
Argentina,2005,25-34 years,15.01
Argentina,2005,35-54 years,12.43
Argentina,2005,5-14 years,1.47
Argentina,2006,75+ years,39.68
Argentina,2006,15-24 years,19.54
Argentina,2006,55-74 years,19.17
Argentina,2006,25-34 years,15.74
Argentina,2006,35-54 years,13.34
Argentina,2006,5-14 years,1.11
Argentina,2007,75+ years,35.43
Argentina,2007,15-24 years,17.07
Argentina,2007,55-74 years,16.96
Argentina,2007,25-34 years,15.68
Argentina,2007,35-54 years,12.87
Argentina,2007,5-14 years,1.27
Argentina,2008,75+ years,32.19
Argentina,2008,15-24 years,18.33
Argentina,2008,55-74 years,17.6
Argentina,2008,25-34 years,16.74
Argentina,2008,35-54 years,12.94
Argentina,2008,5-14 years,1.1
Argentina,2009,75+ years,27.09
Argentina,2009,15-24 years,17.72
Argentina,2009,55-74 years,16.17
Argentina,2009,25-34 years,15.7
Argentina,2009,35-54 years,11.87
Argentina,2009,5-14 years,0.96
Argentina,2010,75+ years,31.35
Argentina,2010,15-24 years,19.77
Argentina,2010,25-34 years,14.98
Argentina,2010,55-74 years,14.49
Argentina,2010,35-54 years,12.33
Argentina,2010,5-14 years,0.92
Argentina,2011,75+ years,26.38
Argentina,2011,15-24 years,19.96
Argentina,2011,25-34 years,15.65
Argentina,2011,55-74 years,14.92
Argentina,2011,35-54 years,10.64
Argentina,2011,5-14 years,0.78
Argentina,2012,75+ years,32.68
Argentina,2012,15-24 years,21.4
Argentina,2012,25-34 years,18.85
Argentina,2012,55-74 years,15.88
Argentina,2012,35-54 years,11.44
Argentina,2012,5-14 years,0.8
Argentina,2013,75+ years,24.03
Argentina,2013,15-24 years,19.96
Argentina,2013,25-34 years,15.25
Argentina,2013,55-74 years,13.75
Argentina,2013,35-54 years,12.2
Argentina,2013,5-14 years,0.91
Argentina,2014,75+ years,27.16
Argentina,2014,15-24 years,21.13
Argentina,2014,25-34 years,16.2
Argentina,2014,55-74 years,13.72
Argentina,2014,35-54 years,12.73
Argentina,2014,5-14 years,0.93
Argentina,2015,75+ years,34.38
Argentina,2015,15-24 years,18.74
Argentina,2015,55-74 years,14.31
Argentina,2015,25-34 years,14.13
Argentina,2015,35-54 years,12.25
Argentina,2015,5-14 years,1.06
Armenia,1990,35-54 years,7.51
Armenia,1990,75+ years,7.43
Armenia,1990,55-74 years,5.98
Armenia,1990,25-34 years,5.21
Armenia,1990,15-24 years,3.67
Armenia,1990,5-14 years,0.0
Armenia,1991,75+ years,17.36
Armenia,1991,25-34 years,6.37
Armenia,1991,55-74 years,4.43
Armenia,1991,35-54 years,4.02
Armenia,1991,15-24 years,2.03
Armenia,1991,5-14 years,0.0
Armenia,1992,75+ years,10.64
Armenia,1992,55-74 years,6.97
Armenia,1992,35-54 years,6.1
Armenia,1992,25-34 years,4.8
Armenia,1992,15-24 years,3.0
Armenia,1992,5-14 years,0.0
Armenia,1993,55-74 years,8.83
Armenia,1993,75+ years,7.04
Armenia,1993,35-54 years,6.72
Armenia,1993,25-34 years,5.56
Armenia,1993,15-24 years,2.3
Armenia,1993,5-14 years,0.0
Armenia,1994,75+ years,24.82
Armenia,1994,55-74 years,8.49
Armenia,1994,35-54 years,8.1
Armenia,1994,25-34 years,3.37
Armenia,1994,15-24 years,1.95
Armenia,1994,5-14 years,0.52
Armenia,1995,55-74 years,11.97
Armenia,1995,35-54 years,8.1
Armenia,1995,25-34 years,7.25
Armenia,1995,75+ years,7.14
Armenia,1995,15-24 years,3.19
Armenia,1995,5-14 years,0.26
Armenia,1996,75+ years,10.75
Armenia,1996,55-74 years,7.31
Armenia,1996,35-54 years,5.86
Armenia,1996,25-34 years,4.57
Armenia,1996,15-24 years,1.25
Armenia,1996,5-14 years,0.26
Armenia,1997,55-74 years,8.53
Armenia,1997,35-54 years,6.1
Armenia,1997,75+ years,3.51
Armenia,1997,25-34 years,3.19
Armenia,1997,15-24 years,1.22
Armenia,1997,5-14 years,0.26
Armenia,1998,75+ years,6.76
Armenia,1998,55-74 years,6.58
Armenia,1998,35-54 years,4.49
Armenia,1998,25-34 years,2.14
Armenia,1998,15-24 years,1.19
Armenia,1998,5-14 years,0.0
Armenia,1999,55-74 years,6.3
Armenia,1999,35-54 years,4.74
Armenia,1999,25-34 years,2.14
Armenia,1999,15-24 years,1.74
Armenia,1999,5-14 years,0.0
Armenia,1999,75+ years,0.0
Armenia,2000,75+ years,10.64
Armenia,2000,55-74 years,5.98
Armenia,2000,35-54 years,3.74
Armenia,2000,25-34 years,1.76
Armenia,2000,15-24 years,1.68
Armenia,2000,5-14 years,0.0
Armenia,2001,55-74 years,7.47
Armenia,2001,75+ years,7.46
Armenia,2001,35-54 years,3.85
Armenia,2001,15-24 years,1.11
Armenia,2001,5-14 years,0.89
Armenia,2001,25-34 years,0.7
Armenia,2002,75+ years,10.32
Armenia,2002,55-74 years,9.67
Armenia,2002,25-34 years,5.81
Armenia,2002,35-54 years,5.26
Armenia,2002,15-24 years,1.7
Armenia,2002,5-14 years,0.34
Armenia,2003,75+ years,9.23
Armenia,2003,55-74 years,7.21
Armenia,2003,35-54 years,4.96
Armenia,2003,25-34 years,4.75
Armenia,2003,5-14 years,0.35
Armenia,2003,15-24 years,0.33
Armenia,2006,75+ years,12.47
Armenia,2006,55-74 years,11.38
Armenia,2006,35-54 years,4.63
Armenia,2006,15-24 years,3.62
Armenia,2006,25-34 years,3.19
Armenia,2006,5-14 years,0.45
Armenia,2007,75+ years,14.2
Armenia,2007,55-74 years,7.02
Armenia,2007,35-54 years,5.25
Armenia,2007,15-24 years,2.57
Armenia,2007,25-34 years,2.09
Armenia,2007,5-14 years,0.47
Armenia,2008,75+ years,14.93
Armenia,2008,55-74 years,9.05
Armenia,2008,35-54 years,2.56
Armenia,2008,25-34 years,1.6
Armenia,2008,15-24 years,0.94
Armenia,2008,5-14 years,0.45
Armenia,2009,75+ years,15.76
Armenia,2009,55-74 years,5.8
Armenia,2009,35-54 years,4.83
Armenia,2009,15-24 years,1.92
Armenia,2009,25-34 years,1.01
Armenia,2009,5-14 years,0.0
Armenia,2010,75+ years,11.47
Armenia,2010,55-74 years,6.73
Armenia,2010,25-34 years,4.93
Armenia,2010,35-54 years,4.33
Armenia,2010,15-24 years,3.17
Armenia,2010,5-14 years,1.04
Armenia,2011,35-54 years,6.74
Armenia,2011,55-74 years,5.64
Armenia,2011,25-34 years,3.81
Armenia,2011,75+ years,3.6
Armenia,2011,15-24 years,2.85
Armenia,2011,5-14 years,0.0
Armenia,2012,75+ years,8.83
Armenia,2012,35-54 years,6.9
Armenia,2012,55-74 years,5.18
Armenia,2012,25-34 years,4.48
Armenia,2012,15-24 years,1.96
Armenia,2012,5-14 years,0.52
Armenia,2013,75+ years,11.94
Armenia,2013,55-74 years,5.04
Armenia,2013,25-34 years,3.59
Armenia,2013,35-54 years,3.51
Armenia,2013,15-24 years,0.82
Armenia,2013,5-14 years,0.52
Armenia,2014,75+ years,14.97
Armenia,2014,55-74 years,5.35
Armenia,2014,35-54 years,3.58
Armenia,2014,25-34 years,2.37
Armenia,2014,15-24 years,1.3
Armenia,2014,5-14 years,0.0
Armenia,2015,75+ years,19.56
Armenia,2015,55-74 years,6.92
Armenia,2015,35-54 years,4.21
Armenia,2015,25-34 years,3.91
Armenia,2015,15-24 years,0.92
Armenia,2015,5-14 years,0.0
Armenia,2016,75+ years,19.37
Armenia,2016,55-74 years,6.73
Armenia,2016,35-54 years,4.56
Armenia,2016,15-24 years,2.47
Armenia,2016,25-34 years,1.56
Aruba,1995,75+ years,224.97
Aruba,1995,25-34 years,53.19
Aruba,1995,55-74 years,21.94
Aruba,1995,35-54 years,8.41
Aruba,1995,15-24 years,0.0
Aruba,1995,5-14 years,0.0
Aruba,1999,25-34 years,56.89
Aruba,1999,15-24 years,36.85
Aruba,1999,35-54 years,21.73
Aruba,1999,5-14 years,0.0
Aruba,1999,55-74 years,0.0
Aruba,1999,75+ years,0.0
Aruba,2000,75+ years,101.11
Aruba,2000,25-34 years,43.94
Aruba,2000,35-54 years,14.06
Aruba,2000,15-24 years,0.0
Aruba,2000,5-14 years,0.0
Aruba,2000,55-74 years,0.0
Aruba,2001,35-54 years,27.28
Aruba,2001,15-24 years,0.0
Aruba,2001,25-34 years,0.0
Aruba,2001,5-14 years,0.0
Aruba,2001,55-74 years,0.0
Aruba,2001,75+ years,0.0
Aruba,2002,55-74 years,65.4
Aruba,2002,25-34 years,30.96
Aruba,2002,15-24 years,16.84
Aruba,2002,35-54 years,13.26
Aruba,2002,5-14 years,0.0
Aruba,2002,75+ years,0.0
Aruba,2003,35-54 years,12.93
Aruba,2003,15-24 years,0.0
Aruba,2003,25-34 years,0.0
Aruba,2003,5-14 years,0.0
Aruba,2003,55-74 years,0.0
Aruba,2003,75+ years,0.0
Aruba,2004,75+ years,88.03
Aruba,2004,55-74 years,44.76
Aruba,2004,25-34 years,16.22
Aruba,2004,35-54 years,12.67
Aruba,2004,15-24 years,0.0
Aruba,2004,5-14 years,0.0
Aruba,2005,55-74 years,28.62
Aruba,2005,35-54 years,18.74
Aruba,2005,15-24 years,0.0
Aruba,2005,25-34 years,0.0
Aruba,2005,5-14 years,0.0
Aruba,2005,75+ years,0.0
Aruba,2006,25-34 years,66.73
Aruba,2006,35-54 years,18.65
Aruba,2006,15-24 years,0.0
Aruba,2006,5-14 years,0.0
Aruba,2006,55-74 years,0.0
Aruba,2006,75+ years,0.0
Aruba,2007,25-34 years,33.7
Aruba,2007,35-54 years,18.7
Aruba,2007,15-24 years,15.53
Aruba,2007,55-74 years,13.09
Aruba,2007,5-14 years,0.0
Aruba,2007,75+ years,0.0
Aruba,2008,25-34 years,17.1
Aruba,2008,55-74 years,12.56
Aruba,2008,35-54 years,6.28
Aruba,2008,15-24 years,0.0
Aruba,2008,5-14 years,0.0
Aruba,2008,75+ years,0.0
Aruba,2009,25-34 years,17.46
Aruba,2009,35-54 years,12.71
Aruba,2009,55-74 years,12.06
Aruba,2009,15-24 years,0.0
Aruba,2009,5-14 years,0.0
Aruba,2009,75+ years,0.0
Aruba,2010,35-54 years,25.74
Aruba,2010,55-74 years,23.09
Aruba,2010,15-24 years,0.0
Aruba,2010,25-34 years,0.0
Aruba,2010,5-14 years,0.0
Aruba,2010,75+ years,0.0
Aruba,2011,55-74 years,33.56
Aruba,2011,35-54 years,19.5
Aruba,2011,15-24 years,14.91
Aruba,2011,25-34 years,0.0
Aruba,2011,5-14 years,0.0
Aruba,2011,75+ years,0.0
Australia,1985,75+ years,30.59
Australia,1985,25-34 years,27.48
Australia,1985,55-74 years,23.95
Australia,1985,15-24 years,23.23
Australia,1985,35-54 years,21.55
Australia,1985,5-14 years,0.31
Australia,1986,75+ years,38.08
Australia,1986,25-34 years,27.86
Australia,1986,55-74 years,26.74
Australia,1986,35-54 years,24.7
Australia,1986,15-24 years,21.62
Australia,1986,5-14 years,1.41
Australia,1987,75+ years,45.34
Australia,1987,25-34 years,27.79
Australia,1987,35-54 years,27.28
Australia,1987,55-74 years,26.73
Australia,1987,15-24 years,25.58
Australia,1987,5-14 years,0.47
Australia,1988,75+ years,36.27
Australia,1988,25-34 years,28.94
Australia,1988,15-24 years,26.22
Australia,1988,55-74 years,25.55
Australia,1988,35-54 years,25.37
Australia,1988,5-14 years,0.47
Australia,1989,75+ years,34.1
